fips,"1,2,3-Trichloropropane",Chromium (hexavalent),Perfluorinated chemicals,Total trihalomethanes (TTHMs),"1,4-Dioxane",Bromodichloromethane,Chloroform,Dichloroacetic acid,Trichloroacetic acid,Radiological contaminants,Manganese,Dibromochloromethane,Tetrachloroethylene (perchloroethylene),Haloacetic acids (HAA5),Hormones,Arsenic,Trichloroethylene,Atrazine,Chlorate,Thallium,Chlorite,Bromate,Bromoform,Nitrate,Benzo[a]pyrene,Nitrate and nitrite,Cadmium,Beryllium,Antimony,Strontium,Benzene,Mercury (inorganic),Perchlorate,Carbon tetrachloride,Vinyl chloride,"1,2-Dichloroethane",Barium,Selenium,Chloromethane,Heptachlor epoxide,Fluoride,Aluminum,"1,1,2-Trichloroethane",Chlordane,Lindane,Heptachlor,"1,2-Dichloropropane",Styrene,"1,2-Dibromo-3-chloropropane (DBCP)",Ethylene dibromide,Molybdenum,Polychlorinated biphenyls (PCBs),"1,3-Butadiene",Di(2-ethylhexyl) phthalate,Carbofuran,p-Dichlorobenzene,Glyphosate,Vanadium,MTBE,N-Nitrosodimethylamine (NDMA),number of points
37189.0,0,21,0,54,0,48,49,47,49,100,0,12,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
37191.0,0,12,0,79,0,69,77,74,65,23,0,70,0,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102
37193.0,0,28,0,114,0,88,114,114,114,30,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144
37195.0,0,18,0,88,0,77,78,65,55,53,0,78,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,152
37197.0,0,11,0,37,0,34,37,36,36,35,3,17,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
37199.0,0,0,0,6,0,3,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
38001.0,0,0,0,12,0,10,10,10,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
38003.0,0,3,0,55,0,55,53,53,20,20,0,35,0,0,0,1,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154
38005.0,0,0,0,32,0,30,31,31,19,36,0,19,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
38007.0,0,0,0,5,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
38009.0,0,0,0,63,0,62,63,54,29,72,0,62,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
38011.0,0,0,0,9,0,9,9,9,3,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
38013.0,0,1,0,31,0,31,25,25,9,39,0,21,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
38015.0,0,14,0,133,0,133,131,131,130,37,0,132,0,0,0,14,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152
38017.0,0,34,0,302,0,302,273,300,140,262,0,227,0,0,0,34,0,0,0,0,0,34,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,818
38019.0,0,0,0,37,0,37,37,36,35,12,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
38021.0,0,2,0,20,0,18,17,17,10,12,0,17,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
38023.0,0,0,0,12,0,8,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
38025.0,0,2,0,59,0,57,59,59,20,17,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
