"","FIPS","BWD","AWD","HWD","NWWD","BWI","AWI","HWI","NWWI","H"
"1059","36063",0.641462115959804,0.485151339530595,0.410153753643636,0.458181542385464,0.58036862713272,0.813648061705376,0.755338101204627,0.664401557214111,0.224058773027791
"1060","36065",0.6530946233867,0.641348090295702,0.541771996781375,0.54355935357183,0.528643571967272,0.532156921312546,0.610713794303999,0.575292132870992,0.23635323054438
"1061","36067",0.629051795429501,0.490226560809534,0.455729515163908,0.488315607140744,0.460562022351961,0.656174508897899,0.594128935722825,0.553258601238449,0.222135064511384
"1062","36069",0.465123348356084,0.46834549856663,0.386384432486733,0.3396913087362,0.790669122457535,0.826918339846095,0.809251598610551,0.815453908633341,0.124997056340562
"1063","36071",0.449672994824573,0.405250793678898,0.379344879523217,0.371701247314639,0.497640859801853,0.579589024858782,0.505768861782055,0.514296813723723,0.1373018885403
"1064","36073",0.448539782864127,0.441809985221205,0.346086524332267,0.259987241516437,0.819881669519364,0.863953406209471,0.827131465700009,0.830269122464677,0.0879293808153945
"1065","36075",0.573903033265463,0.419663019725922,0.407667331952212,0.292883596157688,0.88541203737302,0.906572584854852,0.90541912740655,0.90991546715967,0.0936221920774652
"1066","36077",0.452833557743655,0.416168586138115,0.341793913136771,0.323453647109063,0.851093090146881,0.855998132368254,0.853796351507198,0.859087085816498,0.0825827249352651
"1067","36079",0.402759016738508,0.296672912992357,0.215136465589144,0.196823365182449,0.762640689316125,0.753651621177253,0.75003669344952,0.753633106761506,0.0565696025456622
"1068","36081",0.818611127193308,0.508840619445842,0.512293609246883,0.534305060777847,0.0748884688154621,0.217150346261568,0.207289192741489,0.1779893943519,0.306318208766749
"1069","36083",0.627557036907906,0.513861614173103,0.404401362042035,0.473118421980091,0.627021775774848,0.746954063345668,0.705721899295005,0.685116598031399,0.171395985535599
"1070","36085",0.728921025347524,0.355914729873544,0.409112460419623,0.425959617368332,0.278194319153598,0.575451356525597,0.471458764479396,0.453349018030052,0.1874599145204
"1071","36087",0.574215964954731,0.352358346594198,0.494994107603947,0.442822554977578,0.400195994799781,0.616511566519917,0.427084503250173,0.456987622565894,0.199402535791018
"1072","36089",0.624113107758779,0.472582302451608,0.43467142478529,0.385143905518795,0.807072941481141,0.866385912041572,0.838853294577511,0.849051160075954,0.129855446144612
"1073","36091",0.424523106526499,0.370994261707057,0.290148416295498,0.257666813829559,0.86790724064729,0.859735382617769,0.868849777968665,0.867882591853353,0.0787973192956095
"1074","36093",0.582401629531737,0.479247165025216,0.398302045808173,0.450361471757371,0.4959423141335,0.633693360749253,0.596326283894947,0.548730378707157,0.176132070844685
"1075","36095",0.399111388663554,0.333600017501149,0.266920929762168,0.204432145348521,0.833075294273993,0.910618101221782,0.893948970189284,0.889147249552058,0.0698457258031029
"1076","36099",0.616467013831342,0.547422523837607,0.331521217753876,0.358931224568573,0.746789734942306,0.901548748364342,0.838009845625397,0.807465736882259,0.142928854356336
"1077","36101",0.464403349575211,0.627429796233831,0.360776875111329,0.264804940247463,0.914054435277935,0.876249067818518,0.919328848009908,0.910038195129098,0.110431753046766
"1078","36103",0.60110951079603,0.393208555202321,0.460140803027964,0.430595664270073,0.404708398210413,0.655523174293078,0.488888097121106,0.496234715569562,0.204778761825523
"1079","36107",0.422589349419472,0.317882590658251,0.194067990045511,0.139946938047224,0.939549666582471,0.944899502908794,0.943808138575174,0.944260444843589,0.0378525586394779
"1080","36109",0.354706364112511,0.503236220724661,0.236304253800913,0.299164446697794,0.735079444675223,0.645249749154559,0.747147699770183,0.699543849367846,0.103008766497836
